,0,Target
119,Secondary Education,Graduate
120,Secondary Education,Dropout
121,Primary Education,Graduate
122,Secondary Education,Dropout
123,Trade School Education,Graduate
124,Primary Education,Graduate
125,Secondary Education,Dropout
126,Trade School Education,Graduate
128,Secondary Education,Graduate
129,Secondary Education,Graduate
130,Primary Education,Dropout
131,Trade School Education,Graduate
132,Secondary Education,Graduate
133,Secondary Education,Dropout
134,Trade School Education,Graduate
135,Secondary Education,Dropout
136,Primary Education,Graduate
137,Secondary Education,Graduate
139,Primary Education,Graduate
140,Trade School Education,Graduate
141,Primary Education,Graduate
143,Secondary Education,Graduate
144,Primary Education,Graduate
145,Trade School Education,Graduate
146,Primary Education,Dropout
147,Secondary Education,Dropout
148,Secondary Education,Graduate
149,Secondary Education,Graduate
151,Secondary Education,Graduate
153,Trade School Education,Graduate
154,Secondary Education,Dropout
155,Trade School Education,Dropout
156,Trade School Education,Graduate
157,Secondary Education,Graduate
158,Primary Education,Graduate
159,Secondary Education,Graduate
160,Primary Education,Dropout
161,Primary Education,Graduate
162,Primary Education,Graduate
163,Primary Education,Dropout
164,Secondary Education,Graduate
165,Primary Education,Graduate
167,Primary Education,Graduate
168,Secondary Education,Graduate
169,Primary Education,Dropout
171,Trade School Education,Graduate
172,Secondary Education,Graduate
173,Primary Education,Graduate
174,Trade School Education,Dropout
176,Trade School Education,Graduate
177,Primary Education,Dropout
178,Trade School Education,Dropout
179,Secondary Education,Dropout
180,Secondary Education,Graduate
182,Primary Education,Dropout
183,Secondary Education,Dropout
184,Secondary Education,Dropout
185,Secondary Education,Dropout
187,Trade School Education,Graduate
188,Secondary Education,Dropout
189,Secondary Education,Graduate
190,Primary Education,Graduate
192,Primary Education,Dropout
193,Secondary Education,Dropout
194,Trade School Education,Graduate
195,Primary Education,Dropout
196,Trade School Education,Graduate
197,Secondary Education,Dropout
198,Primary Education,Graduate
200,Secondary Education,Graduate
201,Primary Education,Graduate
202,Primary Education,Graduate
203,Trade School Education,Graduate
204,Primary Education,Graduate
205,Primary Education,Graduate
206,Primary Education,Graduate
207,Secondary Education,Graduate
208,Primary Education,Graduate
209,Secondary Education,Dropout
210,Trade School Education,Graduate
211,Trade School Education,Graduate
212,Secondary Education,Graduate
213,Trade School Education,Dropout
214,Secondary Education,Graduate
216,Primary Education,Graduate
217,Primary Education,Dropout
218,Secondary Education,Dropout
219,Primary Education,Dropout
220,Trade School Education,Graduate
221,Trade School Education,Graduate
222,Secondary Education,Dropout
223,Primary Education,Graduate
224,Secondary Education,Graduate
225,Trade School Education,Graduate
226,Secondary Education,Graduate
227,Secondary Education,Graduate
228,Primary Education,Dropout
229,Secondary Education,Graduate
230,Secondary Education,Graduate
231,Primary Education,Dropout
232,Secondary Education,Graduate
233,Secondary Education,Graduate
234,Trade School Education,Dropout
235,Trade School Education,Graduate
236,Primary Education,Graduate
237,Trade School Education,Graduate
238,Primary Education,Dropout
239,Primary Education,Dropout
242,Trade School Education,Graduate
243,Trade School Education,Dropout
244,Trade School Education,Graduate
245,Primary Education,Graduate
246,Primary Education,Graduate
247,Trade School Education,Dropout
248,Primary Education,Graduate
249,Primary Education,Graduate
251,Trade School Education,Dropout
252,Primary Education,Graduate
254,Secondary Education,Graduate
255,Trade School Education,Dropout
256,Trade School Education,Graduate
258,Secondary Education,Graduate
259,Secondary Education,Dropout
260,Trade School Education,Graduate
261,Trade School Education,Dropout
262,Trade School Education,Dropout
263,Secondary Education,Graduate
264,Trade School Education,Graduate
265,Secondary Education,Graduate
266,Secondary Education,Graduate
267,Trade School Education,Graduate
268,Trade School Education,Graduate
269,Secondary Education,Graduate
270,Trade School Education,Graduate
271,Secondary Education,Dropout
272,Primary Education,Graduate
273,Secondary Education,Graduate
274,Secondary Education,Graduate
275,Primary Education,Graduate
276,Trade School Education,Dropout
277,Secondary Education,Dropout
279,Primary Education,Graduate
280,Trade School Education,Graduate
281,Trade School Education,Graduate
282,Trade School Education,Graduate
283,Primary Education,Graduate
284,Trade School Education,Graduate
285,Secondary Education,Graduate
287,Primary Education,Graduate
288,Secondary Education,Graduate
289,Secondary Education,Graduate
290,Primary Education,Graduate
291,Primary Education,Graduate
293,Primary Education,Graduate
294,Trade School Education,Dropout
295,Secondary Education,Graduate
296,Primary Education,Graduate
297,Secondary Education,Graduate
298,Secondary Education,Graduate
299,Primary Education,Graduate
300,Trade School Education,Graduate
301,Trade School Education,Graduate
302,Primary Education,Graduate
303,Primary Education,Dropout
304,Secondary Education,Dropout
306,Secondary Education,Graduate
307,Secondary Education,Dropout
308,Primary Education,Graduate
309,Trade School Education,Dropout
310,Secondary Education,Graduate
311,Primary Education,Dropout
312,Primary Education,Graduate
313,Trade School Education,Graduate
314,Secondary Education,Dropout
315,Secondary Education,Graduate
316,Primary Education,Graduate
317,Trade School Education,Graduate
318,Primary Education,Graduate
320,Primary Education,Dropout
321,Trade School Education,Graduate
322,Secondary Education,Graduate
323,Trade School Education,Graduate
325,Primary Education,Graduate
326,Secondary Education,Graduate
327,Secondary Education,Graduate
331,Primary Education,Dropout
332,Trade School Education,Graduate
333,Trade School Education,Graduate
334,Primary Education,Graduate
335,Trade School Education,Graduate
336,Trade School Education,Graduate
337,Trade School Education,Graduate
338,Secondary Education,Graduate
339,Secondary Education,Graduate
341,Secondary Education,Dropout
342,Trade School Education,Graduate
343,Secondary Education,Graduate
345,Primary Education,Graduate
347,Trade School Education,Graduate
348,Trade School Education,Graduate
350,Primary Education,Dropout
351,Primary Education,Graduate
352,Secondary Education,Dropout
353,Trade School Education,Graduate
354,Primary Education,Dropout
355,Primary Education,Graduate
356,Trade School Education,Graduate
357,Trade School Education,Dropout
359,Secondary Education,Dropout
360,Primary Education,Graduate
361,Trade School Education,Dropout
363,Primary Education,Graduate
365,Trade School Education,Graduate
366,Primary Education,Graduate
368,Trade School Education,Graduate
369,Primary Education,Dropout
370,Trade School Education,Graduate
372,Secondary Education,Graduate
373,Secondary Education,Graduate
374,Trade School Education,Dropout
376,Trade School Education,Dropout
377,Secondary Education,Graduate
380,Trade School Education,Dropout
383,Primary Education,Graduate
384,Secondary Education,Graduate
385,Primary Education,Graduate
386,Trade School Education,Graduate
387,Trade School Education,Graduate
389,Trade School Education,Graduate
392,Primary Education,Dropout
393,Secondary Education,Dropout
394,Secondary Education,Graduate
395,Secondary Education,Graduate
396,Secondary Education,Graduate
397,Trade School Education,Graduate
398,Trade School Education,Dropout
399,Trade School Education,Dropout
404,Trade School Education,Graduate
405,Secondary Education,Graduate
406,Secondary Education,Graduate
407,Secondary Education,Graduate
408,Secondary Education,Graduate
409,Primary Education,Dropout
410,Primary Education,Graduate
411,Primary Education,Graduate
412,Secondary Education,Graduate
413,Trade School Education,Graduate
414,Secondary Education,Graduate
415,Trade School Education,Graduate
416,Secondary Education,Graduate
417,Primary Education,Dropout
418,Trade School Education,Graduate
419,Secondary Education,Dropout
420,Secondary Education,Graduate
421,Secondary Education,Graduate
422,Secondary Education,Dropout
423,Secondary Education,Graduate
424,Primary Education,Graduate
425,Trade School Education,Graduate
426,Trade School Education,Graduate
428,Primary Education,Dropout
429,Primary Education,Graduate
430,Trade School Education,Graduate
431,Trade School Education,Graduate
432,Trade School Education,Graduate
433,Secondary Education,Dropout
434,Secondary Education,Graduate
435,Primary Education,Graduate
437,Primary Education,Graduate
438,Primary Education,Dropout
439,Trade School Education,Graduate
442,Primary Education,Graduate
443,Primary Education,Graduate
444,Primary Education,Graduate
445,Trade School Education,Graduate
446,Secondary Education,Graduate
447,Secondary Education,Dropout
448,Secondary Education,Graduate
450,Trade School Education,Graduate
451,Trade School Education,Graduate
452,Primary Education,Graduate
453,Primary Education,Graduate
455,Primary Education,Graduate
456,Trade School Education,Dropout
457,Trade School Education,Dropout
458,Secondary Education,Graduate
459,Trade School Education,Graduate
460,Secondary Education,Graduate
461,Primary Education,Graduate
462,Secondary Education,Graduate
463,Secondary Education,Graduate
465,Secondary Education,Dropout
467,Primary Education,Graduate
468,Primary Education,Graduate
469,Trade School Education,Graduate
470,Secondary Education,Graduate
471,Primary Education,Graduate
472,Trade School Education,Dropout
473,Primary Education,Graduate
474,Primary Education,Dropout
475,Secondary Education,Graduate
476,Primary Education,Dropout
477,Primary Education,Dropout
478,Secondary Education,Graduate
480,Secondary Education,Graduate
481,Secondary Education,Graduate
482,Secondary Education,Dropout
484,Secondary Education,Graduate
485,Secondary Education,Graduate
486,Trade School Education,Dropout
487,Secondary Education,Dropout
488,Trade School Education,Graduate
489,Trade School Education,Graduate
490,Primary Education,Graduate
491,Trade School Education,Graduate
492,Secondary Education,Graduate
495,Primary Education,Dropout
496,Trade School Education,Dropout
497,Secondary Education,Graduate
498,Primary Education,Graduate
499,Trade School Education,Graduate
501,Trade School Education,Graduate
503,Secondary Education,Dropout
504,Trade School Education,Graduate
507,Primary Education,Graduate
508,Secondary Education,Dropout
509,Secondary Education,Dropout
511,Primary Education,Dropout
512,Primary Education,Graduate
513,Trade School Education,Dropout
514,Trade School Education,Dropout
515,Trade School Education,Dropout
516,Trade School Education,Graduate
517,Secondary Education,Dropout
518,Primary Education,Dropout
519,Trade School Education,Dropout
520,Trade School Education,Graduate
521,Secondary Education,Graduate
522,Secondary Education,Graduate
523,Secondary Education,Graduate
524,Secondary Education,Dropout
525,Secondary Education,Dropout
527,Secondary Education,Graduate
528,Trade School Education,Dropout
529,Secondary Education,Dropout
531,Primary Education,Dropout
532,Secondary Education,Graduate
533,Secondary Education,Dropout
534,Secondary Education,Graduate
535,Secondary Education,Graduate
536,Secondary Education,Dropout
537,Secondary Education,Graduate
538,Primary Education,Graduate
539,Primary Education,Dropout
540,Primary Education,Graduate
542,Secondary Education,Graduate
543,Secondary Education,Graduate
549,Primary Education,Graduate
550,Primary Education,Dropout
551,Primary Education,Dropout
552,Primary Education,Dropout
553,Secondary Education,Dropout
554,Secondary Education,Dropout
555,Secondary Education,Dropout
557,Trade School Education,Graduate
559,Secondary Education,Graduate
560,Secondary Education,Graduate
562,Secondary Education,Dropout
563,Primary Education,Graduate
564,Secondary Education,Graduate
565,Primary Education,Graduate
566,Secondary Education,Dropout
567,Primary Education,Dropout
568,Trade School Education,Graduate
569,Secondary Education,Graduate
570,Secondary Education,Graduate
571,Trade School Education,Dropout
572,Primary Education,Dropout
574,Primary Education,Graduate
575,Secondary Education,Dropout
576,Secondary Education,Graduate
578,Trade School Education,Graduate
579,Trade School Education,Graduate
580,Primary Education,Dropout
581,Primary Education,Graduate
583,Trade School Education,Graduate
584,Trade School Education,Graduate
585,Secondary Education,Graduate
586,Trade School Education,Graduate
587,Trade School Education,Graduate
588,Trade School Education,Graduate
589,Trade School Education,Graduate
590,Primary Education,Graduate
592,Trade School Education,Graduate
595,Trade School Education,Dropout
596,Trade School Education,Dropout
597,Trade School Education,Dropout
598,Primary Education,Graduate
599,Trade School Education,Graduate
600,Primary Education,Dropout
601,Primary Education,Dropout
602,Secondary Education,Graduate
603,Secondary Education,Graduate
604,Secondary Education,Graduate
605,Primary Education,Dropout
606,Primary Education,Dropout
607,Trade School Education,Graduate
608,Primary Education,Dropout
610,Trade School Education,Graduate
611,Secondary Education,Graduate
612,Secondary Education,Graduate
614,Primary Education,Graduate
615,Secondary Education,Graduate
616,Trade School Education,Graduate
617,Trade School Education,Graduate
618,Primary Education,Graduate
620,Secondary Education,Graduate
621,Secondary Education,Dropout
622,Trade School Education,Dropout
623,Trade School Education,Graduate
624,Trade School Education,Dropout
625,Primary Education,Dropout
626,Trade School Education,Graduate
627,Primary Education,Graduate
628,Secondary Education,Graduate
629,Primary Education,Graduate
630,Primary Education,Graduate
632,Secondary Education,Graduate
633,Trade School Education,Graduate
634,Trade School Education,Graduate
635,Trade School Education,Graduate
636,Trade School Education,Graduate
638,Secondary Education,Graduate
639,Secondary Education,Dropout
640,Trade School Education,Dropout
644,Trade School Education,Dropout
647,Primary Education,Graduate
648,Secondary Education,Graduate
649,Secondary Education,Graduate
650,Primary Education,Graduate
652,Secondary Education,Graduate
653,Trade School Education,Graduate
654,Primary Education,Graduate
657,Secondary Education,Graduate
658,Secondary Education,Graduate
659,Primary Education,Dropout
660,Secondary Education,Graduate
662,Secondary Education,Graduate
663,Trade School Education,Graduate
664,Secondary Education,Graduate
665,Secondary Education,Graduate
666,Trade School Education,Dropout
667,Trade School Education,Graduate
668,Secondary Education,Dropout
669,Primary Education,Graduate
670,Trade School Education,Graduate
671,Trade School Education,Dropout
672,Secondary Education,Graduate
673,Primary Education,Graduate
674,Trade School Education,Graduate
675,Trade School Education,Dropout
676,Secondary Education,Graduate
678,Trade School Education,Dropout
679,Secondary Education,Graduate
680,Primary Education,Graduate
681,Secondary Education,Graduate
682,Secondary Education,Dropout
683,Trade School Education,Dropout
684,Trade School Education,Graduate
685,Trade School Education,Graduate
686,Trade School Education,Dropout
687,Trade School Education,Graduate
688,Trade School Education,Graduate
689,Trade School Education,Dropout
690,Trade School Education,Dropout
691,Trade School Education,Graduate
693,Trade School Education,Dropout
694,Secondary Education,Graduate
695,Secondary Education,Dropout
696,Trade School Education,Graduate
698,Secondary Education,Graduate
699,Trade School Education,Dropout
701,Trade School Education,Dropout
702,Secondary Education,Dropout
703,Trade School Education,Dropout
704,Trade School Education,Graduate
705,Trade School Education,Dropout
706,Primary Education,Graduate
707,Trade School Education,Graduate
708,Secondary Education,Graduate
709,Trade School Education,Dropout
710,Trade School Education,Dropout
711,Trade School Education,Dropout
712,Trade School Education,Graduate
713,Secondary Education,Graduate
714,Trade School Education,Graduate
715,Primary Education,Graduate
716,Primary Education,Dropout
717,Secondary Education,Dropout
720,Trade School Education,Dropout
722,Primary Education,Graduate
723,Trade School Education,Dropout
724,Trade School Education,Dropout
725,Trade School Education,Graduate
726,Primary Education,Graduate
727,Trade School Education,Dropout
728,Primary Education,Graduate
730,Primary Education,Dropout
731,Secondary Education,Graduate
732,Secondary Education,Graduate
733,Primary Education,Graduate
734,Trade School Education,Dropout
735,Secondary Education,Graduate
737,Trade School Education,Dropout
739,Secondary Education,Dropout
740,Primary Education,Dropout
741,Secondary Education,Graduate
742,Secondary Education,Dropout
743,Secondary Education,Dropout
744,Secondary Education,Graduate
745,Secondary Education,Dropout
746,Secondary Education,Dropout
747,Trade School Education,Graduate
748,Secondary Education,Dropout
749,Secondary Education,Graduate
750,Trade School Education,Graduate
751,Trade School Education,Graduate
752,Trade School Education,Graduate
753,Primary Education,Dropout
754,Trade School Education,Graduate
755,Secondary Education,Dropout
756,Secondary Education,Dropout
757,Trade School Education,Dropout
758,Secondary Education,Graduate
759,Trade School Education,Graduate
760,Secondary Education,Graduate
762,Trade School Education,Graduate
764,Secondary Education,Graduate
767,Secondary Education,Graduate
768,Trade School Education,Graduate
769,Primary Education,Graduate
770,Secondary Education,Graduate
771,Secondary Education,Dropout
773,Trade School Education,Graduate
775,Secondary Education,Dropout
776,Secondary Education,Graduate
777,Secondary Education,Dropout
779,Secondary Education,Graduate
780,Trade School Education,Graduate
781,Secondary Education,Dropout
782,Primary Education,Graduate
784,Secondary Education,Graduate
785,Secondary Education,Graduate
786,Secondary Education,Graduate
787,Secondary Education,Graduate
788,Trade School Education,Dropout
789,Primary Education,Graduate
790,Secondary Education,Graduate
791,Secondary Education,Dropout
792,Secondary Education,Graduate
793,Secondary Education,Graduate
794,Primary Education,Graduate
795,Trade School Education,Graduate
796,Secondary Education,Graduate
797,Secondary Education,Graduate
798,Secondary Education,Graduate
801,Primary Education,Dropout
802,Primary Education,Graduate
803,Trade School Education,Graduate
804,Secondary Education,Graduate
806,Secondary Education,Graduate
808,Secondary Education,Dropout
810,Secondary Education,Dropout
811,Primary Education,Graduate
812,Primary Education,Graduate
813,Secondary Education,Graduate
814,Primary Education,Graduate
817,Secondary Education,Graduate
819,Primary Education,Graduate
820,Primary Education,Graduate
821,Primary Education,Graduate
823,Primary Education,Graduate
824,Secondary Education,Graduate
825,Secondary Education,Graduate
826,Secondary Education,Dropout
827,Secondary Education,Graduate
828,Primary Education,Graduate
829,Secondary Education,Dropout
830,Trade School Education,Dropout
831,Primary Education,Dropout
833,Trade School Education,Dropout
834,Trade School Education,Dropout
836,Secondary Education,Dropout
838,Secondary Education,Dropout
839,Trade School Education,Graduate
840,Secondary Education,Dropout
842,Secondary Education,Dropout
843,Trade School Education,Graduate
844,Trade School Education,Graduate
845,Trade School Education,Dropout
846,Secondary Education,Graduate
847,Primary Education,Graduate
849,Secondary Education,Graduate
850,Secondary Education,Graduate
852,Primary Education,Graduate
853,Secondary Education,Graduate
855,Secondary Education,Dropout
856,Secondary Education,Dropout
857,Trade School Education,Dropout
858,Primary Education,Dropout
859,Primary Education,Dropout
860,Secondary Education,Dropout
861,Primary Education,Dropout
862,Secondary Education,Dropout
863,Trade School Education,Dropout
864,Secondary Education,Dropout
865,Secondary Education,Graduate
866,Secondary Education,Dropout
867,Trade School Education,Dropout
868,Primary Education,Graduate
869,Primary Education,Graduate
870,Secondary Education,Graduate
871,Primary Education,Dropout
872,Primary Education,Graduate
874,Secondary Education,Graduate
875,Trade School Education,Graduate
876,Trade School Education,Dropout
877,Primary Education,Dropout
878,Primary Education,Graduate
879,Primary Education,Dropout
880,Trade School Education,Graduate
881,Secondary Education,Graduate
882,Primary Education,Dropout
883,Trade School Education,Dropout
884,Secondary Education,Graduate
885,Primary Education,Graduate
886,Trade School Education,Graduate
887,Trade School Education,Graduate
888,Primary Education,Graduate
889,Trade School Education,Graduate
890,Secondary Education,Graduate
891,Trade School Education,Dropout
892,Trade School Education,Graduate
893,Trade School Education,Dropout
894,Secondary Education,Graduate
895,Secondary Education,Dropout
896,Trade School Education,Graduate
897,Primary Education,Graduate
899,Primary Education,Graduate
900,Primary Education,Dropout
901,Trade School Education,Graduate
902,Trade School Education,Graduate
903,Trade School Education,Graduate
904,Primary Education,Dropout
905,Secondary Education,Graduate
906,Secondary Education,Dropout
907,Primary Education,Graduate
909,Trade School Education,Dropout
910,Trade School Education,Graduate
911,Primary Education,Graduate
912,Trade School Education,Dropout
913,Trade School Education,Graduate
914,Trade School Education,Dropout
915,Primary Education,Graduate
916,Primary Education,Dropout
917,Trade School Education,Dropout
918,Trade School Education,Graduate
919,Trade School Education,Graduate
920,Trade School Education,Graduate
921,Trade School Education,Graduate
922,Secondary Education,Dropout
923,Trade School Education,Dropout
925,Trade School Education,Graduate
926,Primary Education,Dropout
929,Primary Education,Dropout
931,Primary Education,Graduate
932,Trade School Education,Graduate
933,Trade School Education,Dropout
935,Secondary Education,Graduate
936,Trade School Education,Dropout
939,Trade School Education,Dropout
940,Primary Education,Graduate
941,Trade School Education,Graduate
943,Secondary Education,Dropout
944,Trade School Education,Graduate
945,Trade School Education,Graduate
946,Secondary Education,Graduate
947,Secondary Education,Dropout
948,Primary Education,Graduate
949,Trade School Education,Dropout
950,Trade School Education,Graduate
951,Trade School Education,Dropout
952,Secondary Education,Graduate
953,Primary Education,Dropout
954,Secondary Education,Dropout
955,Secondary Education,Dropout
956,Primary Education,Graduate
957,Trade School Education,Graduate
958,Secondary Education,Graduate
959,Primary Education,Dropout
960,Primary Education,Dropout
961,Trade School Education,Graduate
962,Secondary Education,Graduate
964,Secondary Education,Graduate
965,Secondary Education,Graduate
966,Primary Education,Dropout
967,Trade School Education,Dropout
968,Primary Education,Dropout
970,Primary Education,Graduate
971,Trade School Education,Dropout
972,Trade School Education,Dropout
973,Trade School Education,Graduate
974,Trade School Education,Graduate
976,Trade School Education,Graduate
977,Primary Education,Graduate
978,Primary Education,Dropout
979,Secondary Education,Graduate
980,Trade School Education,Dropout
982,Secondary Education,Graduate
984,Secondary Education,Dropout
985,Primary Education,Graduate
986,Secondary Education,Graduate
987,Secondary Education,Dropout
988,Secondary Education,Dropout
989,Primary Education,Dropout
990,Secondary Education,Graduate
991,Secondary Education,Graduate
992,Secondary Education,Dropout
993,Secondary Education,Graduate
994,Trade School Education,Graduate
995,Trade School Education,Graduate
998,Secondary Education,Graduate
999,Primary Education,Dropout
1000,Trade School Education,Dropout
1001,Primary Education,Dropout
1002,Secondary Education,Graduate
1003,Primary Education,Graduate
1004,Secondary Education,Dropout
1005,Secondary Education,Graduate
1006,Trade School Education,Graduate
1007,Trade School Education,Graduate
1008,Primary Education,Graduate
1009,Secondary Education,Graduate
1010,Primary Education,Graduate
1011,Primary Education,Graduate
1012,Secondary Education,Graduate
1013,Primary Education,Dropout
1014,Trade School Education,Graduate
1015,Primary Education,Graduate
1016,Trade School Education,Dropout
1017,Secondary Education,Graduate
1018,Primary Education,Dropout
1019,Secondary Education,Graduate
1020,Secondary Education,Graduate
1021,Primary Education,Graduate
1022,Trade School Education,Graduate
1023,Trade School Education,Graduate
1024,Trade School Education,Graduate
1025,Secondary Education,Dropout
1026,Primary Education,Graduate
1027,Primary Education,Graduate
1028,Primary Education,Graduate
1029,Secondary Education,Graduate
1030,Secondary Education,Graduate
1032,Trade School Education,Graduate
1033,Secondary Education,Graduate
1034,Trade School Education,Dropout
1036,Secondary Education,Dropout
1037,Secondary Education,Graduate
1038,Secondary Education,Graduate
1040,Secondary Education,Graduate
1041,Trade School Education,Graduate
1042,Trade School Education,Graduate
1043,Trade School Education,Graduate
1044,Primary Education,Graduate
1045,Secondary Education,Dropout
1046,Secondary Education,Dropout
1047,Secondary Education,Graduate
1048,Secondary Education,Graduate
1049,Trade School Education,Graduate
1050,Secondary Education,Graduate
1051,Primary Education,Graduate
1052,Secondary Education,Dropout
1053,Secondary Education,Graduate
1054,Trade School Education,Graduate
1055,Primary Education,Graduate
1056,Secondary Education,Dropout
1057,Secondary Education,Graduate
1058,Secondary Education,Dropout
1059,Primary Education,Graduate
1060,Secondary Education,Dropout
1061,Primary Education,Dropout
1062,Trade School Education,Graduate
1063,Primary Education,Graduate
1065,Primary Education,Dropout
1066,Trade School Education,Graduate
1067,Trade School Education,Graduate
1068,Secondary Education,Graduate
1069,Primary Education,Graduate
1070,Secondary Education,Graduate
1071,Primary Education,Graduate
1073,Secondary Education,Graduate
1074,Trade School Education,Graduate
1075,Primary Education,Graduate
1076,Primary Education,Dropout
1077,Trade School Education,Dropout
1078,Secondary Education,Dropout
1079,Secondary Education,Graduate
1080,Secondary Education,Graduate
1081,Primary Education,Graduate
1083,Secondary Education,Graduate
1084,Primary Education,Graduate
1085,Secondary Education,Dropout
1086,Primary Education,Graduate
1087,Trade School Education,Graduate
1090,Secondary Education,Graduate
1091,Primary Education,Dropout
1092,Trade School Education,Graduate
1093,Primary Education,Dropout
1094,Primary Education,Graduate
1095,Trade School Education,Dropout
1096,Primary Education,Dropout
1097,Trade School Education,Graduate
1098,Secondary Education,Graduate
1099,Primary Education,Graduate
1100,Primary Education,Dropout
1101,Primary Education,Dropout
1104,Primary Education,Graduate
1105,Trade School Education,Dropout
1106,Primary Education,Dropout
1107,Trade School Education,Graduate
1108,Primary Education,Dropout
1109,Primary Education,Graduate
1110,Trade School Education,Graduate
1111,Secondary Education,Graduate
1114,Primary Education,Graduate
1115,Trade School Education,Graduate
1116,Secondary Education,Dropout
1117,Trade School Education,Graduate
1119,Primary Education,Graduate
1121,Secondary Education,Graduate
1122,Secondary Education,Graduate
1123,Trade School Education,Graduate
1124,Trade School Education,Graduate
1125,Trade School Education,Graduate
1126,Secondary Education,Graduate
1127,Trade School Education,Graduate
1128,Trade School Education,Graduate
1129,Trade School Education,Graduate
1130,Primary Education,Graduate
1131,Secondary Education,Graduate
1133,Primary Education,Graduate
1134,Trade School Education,Dropout
1135,Trade School Education,Dropout
1136,Trade School Education,Graduate
1137,Secondary Education,Dropout
1138,Trade School Education,Graduate
1139,Primary Education,Graduate
1140,Trade School Education,Graduate
1142,Secondary Education,Dropout
1143,Primary Education,Graduate
1145,Primary Education,Graduate
1147,Primary Education,Graduate
1149,Primary Education,Graduate
1150,Primary Education,Graduate
1151,Trade School Education,Dropout
1154,Secondary Education,Graduate
1156,Trade School Education,Dropout
1157,Trade School Education,Graduate
1158,Secondary Education,Graduate
1159,Primary Education,Graduate
1160,Trade School Education,Graduate
1162,Trade School Education,Graduate
1163,Trade School Education,Graduate
1164,Trade School Education,Dropout
1165,Primary Education,Graduate
1166,Secondary Education,Dropout
1167,Primary Education,Graduate
1168,Secondary Education,Dropout
1169,Primary Education,Graduate
1170,Trade School Education,Graduate
1171,Secondary Education,Graduate
1172,Primary Education,Dropout
1174,Secondary Education,Graduate
1175,Primary Education,Dropout
1176,Trade School Education,Graduate
1177,Secondary Education,Graduate
1178,Trade School Education,Dropout
1179,Trade School Education,Graduate
1180,Trade School Education,Dropout
1181,Secondary Education,Graduate
1182,Primary Education,Graduate
1183,Primary Education,Dropout
1185,Primary Education,Graduate
1187,Trade School Education,Dropout
1188,Primary Education,Graduate
1189,Secondary Education,Graduate
1190,Primary Education,Dropout
1191,Secondary Education,Graduate
1192,Primary Education,Graduate
1193,Secondary Education,Graduate
1194,Trade School Education,Graduate
1196,Trade School Education,Dropout
1197,Secondary Education,Dropout
1198,Secondary Education,Graduate
1199,Secondary Education,Graduate
1200,Secondary Education,Graduate
1201,Trade School Education,Graduate
1202,Primary Education,Dropout
1203,Secondary Education,Graduate
1204,Primary Education,Dropout
1205,Trade School Education,Graduate
1206,Trade School Education,Graduate
1208,Trade School Education,Dropout
1209,Trade School Education,Dropout
